breed,age,weight,chest,neck,back,leg,chest_pre,neck_pre,back_pre,leg_pre
시츄,24,4.6,39,25,33,13,39.71692437,25.62711101,33.42581015,15.81533821
푸들 미디엄미니어처,24,4.7,39,21,37.5,16,40.19194171,24.67985389,34.70624209,20.44784789
푸들 미디엄미니어처,24,2.6,33,19,29.5,19,31.29124148,19.21438067,27.02037662,15.9195729
말티즈,24,1.97,28,20,26,12.5,29.64861548,19.20342393,24.90378625,12.1403598
푸들토이,24,3.5,35,22,31,20,36.26812665,22.23920513,31.00569782,18.81489764
웰시 코기,24,11.9,55.5,42,49.5,18,53.54935593,35.084346,48.50752538,15.3957191
골든 리트리버,24,39.8,78.8,58.4,77.3,30.2,78.33012862,48.77025645,64.90088249,36.3823547
말티즈,24,3.4,37.2,21,34.2,18.1,35.83390697,23.51914294,30.27354292,14.50042445
폼피츠,24,3.9,37.5,26.6,33.2,17.1,39.80692727,27.05840287,30.74171026,17.27842423
말티즈,24,3.6,36.2,28.4,34.9,18.2,36.31803459,23.82071827,30.34189091,15.16578003
시베리안 허스키,24,26,70,53,65,36,75.15703359,50.4283588,57.88544261,32.73656647
푸들 미디엄미니어처,24,4.75,38.5,27,38,18.5,40.36440044,24.78575214,34.85516235,20.53558711
푸들 미디엄미니어처,24,2.9,32.5,19.5,25.4,18.5,32.82909562,20.1586997,28.34833282,16.70196375
푸들 미디엄미니어처,24,5.6,40.5,21.5,41,20.3,42.87723706,25.5957251,36.22520121,21.65557341
말티즈,24,6.5,43.5,26,30,15,44.00299542,28.60620901,37.53856948,17.98243966
올드 잉글리쉬 쉽독,24,29.5,79,40,56.2,27.3,74.14704712,34.88370366,58.98550486,30.25264888
프렌치 불독,24,9.9,50.2,37.5,40,20.5,53.56724841,36.24665873,38.14936297,18.14305761
요크셔 테리어,24,4.3,32.3,18.6,33.2,17.4,36.34870997,23.0112235,31.57102829,17.45293083
치와와,24,3.1,30.1,20.8,30.5,19.5,35.09226712,23.43301888,25.09654361,15.55579624
치와와,24,4.5,39,25.1,33.2,19.1,39.779671,26.55903044,28.69940496,17.71667942
치와와,24,2.5,32,19,25,15,32.98413313,22.29835315,23.95372258,14.24555271
진돗개,24,15,62,41,49,33,62.86475349,41.99583237,47.76029743,27.12770085
포인터,24,15,65,35,47,34,55.25295159,29.28349539,42.65872039,27.02339631
믹스 소형견,24,6.4,44,25,36,20,43.9031064,27.94171121,36.64724549,20.33191688
골든 리트리버,24,42.2,84,51,50,28,80.14325977,49.99381947,66.50162569,37.48530903
골든 리트리버,24,35,78,43,61,30,75.48477572,47.13228036,62.60995371,35.08327773
도베르만 핀셔,24,37,88,42,57,45,74.74805122,39.8186093,57.93924559,36.78325202
포메라니안,24,2.3,37,21,20,12,33.03818856,22.45029418,25.80654753,14.93788893
퍼그,24,8.2,48,33,40,18.5,49.87150147,34.4314294,35.77689071,16.59530602
말티즈,24,3.6,34.5,22.5,27.5,17.5,36.79742856,23.72186538,30.3877773,14.99036306
말티즈,24,3.5,30.3,19.8,29.5,13.7,36.12285573,23.52323628,29.87001263,15.23992756
푸들 미디엄미니어처,24,5.2,44.3,26.3,42.1,25.2,40.98914112,25.42230355,35.82788295,21.10863402
말티즈,24,4.5,37.3,27.5,30.2,13.4,38.74987656,25.39163277,33.04965625,16.48562525
푸들 미디엄미니어처,24,5.8,42,25,37,19,43.44845722,26.43554618,37.07393262,21.75856432
믹스 소형견,24,7.4,50,30,40,27,46.52935995,29.04359308,39.05074532,20.56158703
믹스 소형견,24,5.6,45,27,38,17,42.11887385,27.20820195,35.33840451,19.15677655
믹스 소형견,24,5.5,45,32,36,16,41.93046165,26.26047625,35.05100397,18.89302627
푸들 미디엄미니어처,24,6.2,42.5,24,36,23.5,43.99511837,26.51667822,38.37999292,22.55335624
비숑 프리제,24,6,42,35,29.5,20,43.93862166,27.40295622,38.37486922,19.54556428
요크셔 테리어,24,3.7,36.1,23.1,35,19.2,35.13415435,21.60555034,30.90726986,16.81416862
포메라니안,24,2.5,36,27.7,25.1,19.9,34.11765108,23.36311652,26.67168277,14.37371275
믹스 소형견,24,6.8,43,25,38,25,45.28971296,29.05314718,37.95864589,20.15966841
시바 이누,24,15.1,66,42,44.5,21,62.82006771,41.79060815,48.50015586,27.334274
믹스 중형견,24,11,61,33,40,22,53.39900304,33.62973652,44.37832168,23.98337126
보더콜리,24,13.5,58,31,48,27,56.00723787,34.70432837,43.99289877,25.85375094
시베리안 허스키,24,25,75,56,50,37,73.59900668,49.65812727,56.76370385,31.77357202
푸들 미디엄미니어처,24,5.5,45.2,25.1,35.3,20.7,41.96385068,25.71279294,36.0497335,21.08864947
믹스 소형견,24,6.8,44.1,29.7,41.2,22.5,44.67150649,28.98815614,37.88167068,20.62000015
푸들 미디엄미니어처,24,7.2,50.1,30.2,37.1,21.9,46.46372199,28.70182347,39.85317898,23.77888583
믹스 소형견,24,4.1,36.1,27.2,32.2,16.3,38.33818211,24.15027395,32.32353774,16.68619512
포메라니안,24,4.2,43.3,36.3,34.3,18,40.46474583,27.77486927,31.3142699,17.49982012
푸들 미디엄미니어처,24,6.1,48,30,36,22,43.4995262,26.86897707,37.69340055,21.95472533
포메라니안,24,5.8,45.2,28.7,35,16.4,45.92168748,30.11494704,34.90291333,19.65830504
말티즈,24,2.5,32.7,22.8,25,17.1,32.39883914,21.19379301,27.3677975,12.95548634
말티즈,24,2.9,34,21.4,26.2,15.2,33.92951806,21.97539519,28.03865557,14.03214062
말티즈,24,5.2,42,26,34,14,40.88010256,26.73816268,34.15689468,16.99842093
믹스 소형견,24,6,45.7,30.5,34,19,43.05307375,27.26002916,36.16851462,19.28494154
래브라도 리트리버,24,32,76,51,57,31,74.77907496,46.47334827,58.03891959,34.05713521
믹스 중형견,24,15,62,43,52,29,58.38846084,37.7861007,49.21059461,26.76052047
믹스 소형견,24,10,56.5,35,39,24,51.02486962,32.61287474,42.64052608,23.05194972
믹스 소형견,24,9,51,33,42,17,49.9352891,31.40765325,41.77185678,22.21286159
시베리안 허스키,24,23,69,43,55,35,72.43841804,48.02692885,55.29501273,30.90430416
믹스 소형견,24,15,59,35,52,29,59.29369139,36.91500273,49.32465693,26.77717324
시베리안 허스키,24,23,78,61,54,31,72.40275778,48.5567083,55.37933908,30.79524993
시베리안 허스키,24,23,72,43,49,26,72.10484985,47.84428306,55.16208019,30.87681063
시바 이누,24,10,51,39,40,20,54.30152087,36.96011961,42.3341181,23.25046993
푸들토이,24,3.6,36,22.5,30,17,37.0116489,22.14869227,32.0964643,18.48327055
말티즈,24,3.2,32,19.8,28.5,21,35.34306977,23.10314158,29.45186128,14.18796094
포메라니안,24,4,39.5,28.5,25,14,39.99463232,26.75758046,30.87831922,17.29771603
비숑 프리제,24,4.5,36.5,24.5,24,17.5,39.36138091,24.5482939,34.37722413,17.5094341
믹스 소형견,24,5.6,46.9,29.5,31.5,24.1,42.24393867,27.2124783,34.96043428,19.2470717
믹스 소형견,24,3.5,33,23,30,12,36.18671586,23.07552036,30.26003717,16.54768508
믹스 중형견,24,14,55,33,52,23,57.5996119,36.17807433,48.32656782,26.00726279
비숑 프리제,24,9.4,52.1,32.5,50,17.1,49.82442547,31.22771321,43.95482619,22.71829699
치와와,24,4.4,37,24,32,18.5,39.02721955,26.0957017,28.05893051,17.17179076
퍼그,24,7.1,50,34,33,18,47.90817806,32.77254007,33.59981435,16.05633953
시바 이누,24,8.1,48,34,42,18,50.92332616,33.66853809,39.12835697,22.16541657
푸들 미디엄미니어처,24,6.2,50,33.2,36,18,44.44834949,27.31952125,38.23081005,22.69493752
포메라니안,24,7.5,53,35.6,38.9,14.2,49.93817883,33.43098532,37.90143122,21.48580605
믹스 소형견,24,11.2,52.3,33,49.4,28.5,53.68796263,33.71000855,44.42559573,24.48477069
파피용빠삐용,24,6.6,48.5,27.5,32,19,44.05058532,27.8753045,38.75421364,19.60733566
요크셔 테리어,24,2.4,30,18,24,21,30.08218005,18.73864962,26.04189148,13.81008952
말티즈,24,2.8,30.5,20.1,29.4,18.7,33.07743129,21.41017247,28.48192004,13.83314807
믹스 중형견,24,24.5,72,42.5,60.5,32.5,69.29944752,43.48836047,57.86460263,31.34614124
비글,24,10,48.5,26,37,18,48.75371329,25.87711321,37.05760488,23.22206564
비글,24,9,46,23,43,22,46.48552069,24.57755655,35.66590872,22.46951246
래브라도 리트리버,24,46,87,60,51,31,84.44414127,52.90934914,65.6438489,38.86237915
골든 리트리버,24,29,70,37,56,39,71.14597148,44.25042305,58.6344865,33.11113509
푸들 미디엄미니어처,24,9.4,52,36,40,27,50.02658138,31.31573708,43.26805624,25.94823769
불독,24,21.3,68.5,48.2,43.5,20.5,68.43451899,47.73226993,48.84772288,23.62871348
푸들 미디엄미니어처,24,3.5,36,23,31,21,35.98269898,22.43938909,31.34633941,18.14532493
푸들 미디엄미니어처,24,5.4,37.7,33.1,38.6,23.5,41.64821817,25.63605658,35.79412707,21.46726179
치와와,24,3.8,37.5,28,31,15,37.213042,25.32751831,27.1612029,16.18359513
푸들 미디엄미니어처,24,2.7,34.7,25,30.7,24.6,33.52229874,20.23800928,28.90111792,16.62620549
포메라니안,24,3.7,40.5,27,27,19.2,39.63465766,26.0663303,30.42463344,16.66750067
비숑 프리제,24,7.3,44.7,25.6,36.9,19.3,46.44089818,28.68603175,40.28356276,20.28885558
비숑 프리제,24,7.4,44.7,25.6,36.8,19.3,46.39176877,29.18402475,40.07438997,20.4239069
믹스 중형견,24,7.3,47.3,24,32.1,17.1,46.7144343,29.30662897,38.55371888,20.3300129
